DEPTH,AVTX,BVTX,CILD,CNDL,CNLS,CNPOR,CNSS,DCAL,DPOR,GR,LSPD,LTEN,RHOB,RHOC,RILD,RILM,RLL3,RXORT,SP,DT,ITT,MCAL,MI,MN,SPOR
301.0,0.0,0.0,234.6457,45.9488,46.8665,46.8665,45.7861,2.4969,54.4412,71.0983,,670.2597,1.7791,0.0001,4.2617,100000.0,2.8567,4.5461,0.0811,213.1249,2.0,3.9202,1.8738,2.1299,117.0614
301.5,0.0,0.0,257.5501,47.5054,47.9499,47.9499,46.6091,2.4963,59.5987,75.1828,,669.901,1.6909,0.0001,3.8827,135.9317,6.1188,14.161214285714287,0.0811,212.0036,0.0,3.9198,1.8289,2.5282,116.2685
302.0,0.0,0.0,328.3062,47.1273,47.6849,47.6849,46.4061,2.4985,64.2036,79.3046,,670.0919,1.6121,0.0001,3.0459,37.0959,8.1948,23.77632857142857,0.0811,210.8947,0.0,3.9191,1.6809,2.2732,115.4842
302.5,0.0,0.0,461.4292,44.6454,45.9743,45.9743,45.1218,2.5036,67.6938,86.11,,670.8689,1.5524,0.0001,2.1672,21.0314,8.5683,33.39144285714286,0.0811,208.5563,0.0,3.9197,1.6245,2.043,113.8305
303.0,0.0,0.0,523.7906,41.283,43.7328,43.7328,43.5075,2.5063,70.1031,93.4039,,671.3603,1.5112,0.0033,1.9092,15.242,8.2511,43.00655714285715,0.0811,202.7063,0.0,3.9196,1.6167,1.981,109.6933
303.5,0.0,0.0,377.1401,38.3615,41.852,41.852,42.2151,2.5068,71.9258,94.7268,,673.5711,1.4801,0.0045928571428571425,2.6515,12.6762,7.909,52.62167142857143,0.0811,192.5908,0.0,3.919,1.6156,1.9676,102.5395
304.0,0.0,0.0,150.8059,36.4571,40.6575,40.6575,41.4248,2.5069,73.5955,92.6866,,673.7772,1.4515,0.005885714285714286,6.631,11.3417,7.7891,62.23678571428572,0.0811,180.9891,0.0,3.9184,1.6149,1.9503,94.3346
304.5,0.0,0.0,20.3574,35.5596,40.1028,40.1028,41.0659,2.5064,75.089,92.1289,,672.5942,1.426,0.007178571428571428,49.1223,10.2932,7.768,71.8519,0.0811,171.9489,0.0,3.9186,1.6159,1.9282,87.9412
305.0,0.0,0.0,0.0,36.5554,40.7186,40.7186,41.4646,2.5058,76.0741,91.4114,,674.463,1.4091,0.00847142857142857,100000.0,9.0685,7.7356,369.7664,0.0811,166.9415,0.0,3.9196,1.6195,1.9122,84.3999
305.5,0.0,0.0,23.0051,40.2402,43.0546,43.0546,43.0348,2.5061,76.3663,91.6822,,675.3082,1.4041,0.009764285714285713,43.4686,7.6905,7.7615,67.1693,0.0811,164.4859,0.0,3.9204,1.6225,1.9123,82.6633
306.0,0.0,0.0,88.5105,44.8515,46.1145,46.1145,45.2254,2.5064,76.1871,92.5045,,673.769,1.4072,0.011057142857142856,11.2981,6.4252,7.8552,14.4637,0.0811,162.767,0.0,3.9196,1.6217,1.9241,81.4476
306.5,0.0,0.0,150.5895,47.9495,48.2626,48.2626,46.8499,2.5064,76.0612,90.5473,,675.4881,1.4094,0.01235,6.6406,5.4475,7.9131,14.459329466666667,0.0811,161.266,1.0,3.9188,1.6188,1.9344,80.3861
307.0,0.0,0.0,182.3867,49.1741,49.1337,49.1337,47.5282,2.5064,76.4994,85.8145,,676.9415,1.4019,0.01364285714285714,5.4829,4.7756,7.8037,14.454958933333332,0.0811,160.3803,0.0,3.9195,1.6151,1.9302,79.7598
307.5,0.0,0.0,192.4629,49.2548,49.1916,49.1916,47.5736,2.5066,77.6544,79.5694,,677.312,1.3821,0.014935714285714285,5.1958,4.356,7.5384,14.4505884,0.0811,160.5297,0.0,3.9202,1.6107,1.9065,79.8654
308.0,0.0,0.0,196.0247,48.8658,48.9132,48.9132,47.3554,2.5065,79.1176,74.7471,,678.313,1.36205,0.016228571428571426,5.1014,4.1273,7.2754,14.446217866666666,0.0811,161.7042,0.0,3.9199,1.6076,1.8741,80.696
308.5,0.0,0.0,199.0432,48.3616,48.5544,48.5544,47.0758,2.5063,80.0006,74.5603,,680.6423,1.342,0.01752142857142857,5.024,4.0398,7.1069,14.441847333333333,0.0811,163.4418,0.0,3.9181,1.6068,1.8534,81.9249
309.0,0.0,0.0,202.6153,47.34,47.8339,47.8339,46.5201,2.5065,79.2529,79.4666,,681.5822,1.3548,0.018814285714285714,4.9355,4.0543,6.9951,14.437476799999999,0.0811,165.0157,0.0,3.9182,1.6111,1.8643,83.038
309.5,0.0,0.0,205.6393,46.1831,47.0283,47.0283,45.9079,2.5069,76.0297,85.5022,,680.4495,1.4099,0.020107142857142855,4.8629,4.1344,7.0165,14.433106266666666,0.0811,165.6911,0.0,3.9193,1.634,1.9568,83.5156
310.0,0.0,0.0,207.3984,45.9777,46.8865,46.8865,45.8011,2.5066,70.1231,90.6436,,679.8346,1.5109,0.0214,4.8216,4.2395,7.3244,14.428735733333333,0.0811,165.0401,0.0,3.919,1.7016,2.2091,83.0552
310.5,0.0,0.0,208.691,45.637,46.6518,46.6518,45.6252,2.5057,62.4927,96.2023,,679.5615,1.6414,0.0718,4.7918,4.3277,8.0806,14.424365199999999,0.0811,163.2065,0.0,3.9174,1.7984,2.5864,81.7585
311.0,0.0,0.0,209.8357,43.606,45.2723,45.2723,44.6078,2.5059,55.2761,99.4463,,679.1586,1.7648,0.1192,4.7656,4.3679,8.6733,14.419994666666666,0.0811,160.8654,0.0,3.9182,1.8577,2.8833,80.1029
311.5,0.0,0.0,210.2092,41.428,43.8278,43.8278,43.5743,2.5067,50.3823,99.1936,,677.8175,1.8485,0.1507,4.7572,4.353,8.5948,14.415624133333333,0.0811,158.855,0.0,3.9192,1.8769,3.0018,78.6811
312.0,0.0,0.0,209.4802,41.6749,43.9898,43.9898,43.6885,2.5073,47.6965,99.7008,,677.7083,1.8944,0.1637,4.7737,4.2977,8.3861,14.411253599999998,0.0811,157.7289,0.0,3.9191,1.885,3.0244,77.8847
312.5,0.0,0.0,208.0662,43.8453,45.4332,45.4332,44.7249,2.5574,45.4659,102.4044,,680.8436,1.9325,0.1638,4.8062,4.2262,8.2162,14.406883066666666,0.0811,157.5271,1.0,3.9192,1.8759,2.9964,77.742
313.0,0.0,0.0,206.8668,44.8436,46.1091,46.1091,45.2214,3.4055,42.2745,106.3592,,683.3128,1.9871,0.1536,4.834,4.1588,8.0465,14.402512533333333,0.0811,157.8939,1.0,3.9186,1.8431,2.9171,78.0014
313.5,0.0,0.0,206.7574,43.2944,45.0635,45.0635,44.4563,6.2122,38.1823,107.4924,,683.5984,2.0571,0.1313,4.8366,4.1073,7.7508,14.398142,0.0811,158.4033,0.0,3.9187,1.8022,2.8154,78.3616
314.0,0.0,0.0,207.9336,40.9194,43.4955,43.4955,43.3412,8.1285,34.5315,100.6949,,683.0768,2.1195,0.0964,4.8092,4.0759,7.64,14.393771466666665,0.0811,158.8,0.0,3.9197,1.7921,2.7724,78.6422
314.5,0.0,0.0,209.8471,39.0228,42.2726,42.2726,42.4991,8.3721,32.6597,92.7458,,683.5652,2.1515,0.0572,4.7654,4.0643,7.7344,14.389400933333333,0.0811,159.0112,0.0,3.9194,1.8134,2.8106,78.7915
315.0,0.0,0.0,211.7641,37.7035,41.4366,41.4366,41.9375,8.3422,32.4979,93.1792,,683.3765,2.1543,0.0271,4.7222,4.0692,7.7339,14.3850304,0.0811,159.0564,0.0,3.9186,1.838,2.8718,78.8235
315.5,0.0,0.0,213.0718,38.284,41.8029,41.8029,42.1822,8.3338,33.007,100.2211,,686.1393,2.1456,0.0118,4.6933,4.086,7.8237,14.380659866666665,0.0811,158.9983,0.0,3.9189,1.8584,2.9273,78.7824
316.0,0.0,0.0,213.3511,42.0592,44.2428,44.2428,43.8678,8.3344,33.4524,107.2435,,687.604,2.138,0.0066,4.6871,4.1093,8.0247,14.376289333333332,0.0811,158.8946,0.0,3.9191,1.8786,2.9832,78.709
316.5,0.0,0.0,212.6924,47.2225,47.7516,47.7516,46.4571,8.3447,33.5598,110.5137,,686.6594,2.1361,0.0058,4.7016,4.1326,8.1217,14.3719188,0.0811,158.7219,0.0,3.919,1.903,3.0473,78.5869
317.0,0.0,0.0,211.6611,49.7835,49.5719,49.5719,47.8736,8.3666,33.2733,110.6563,,686.3206,2.141,0.0067,4.7245,4.1502,8.1262,14.367548266666667,0.0811,158.3884,0.0,3.9192,1.9323,3.1167,78.351
317.5,0.0,0.0,210.7903,47.5676,47.9937,47.9937,46.6427,8.3837,32.7174,108.6587,,685.9266,2.1505,0.0085,4.7441,4.1576,8.1602,14.363177733333332,0.0811,157.8654,0.0,3.9194,1.9609,3.1748,77.9812
318.0,0.0,0.0,210.3661,42.2626,44.3772,44.3772,43.9634,8.3958,32.1291,103.8991,,685.7589,2.1606,0.0109,4.7536,4.154,8.2307,14.3588072,0.0811,157.2872,0.0,3.9182,1.9825,3.2089,77.5723
318.5,0.0,0.0,210.3977,37.5033,41.3107,41.3107,41.854,8.3878,31.731,99.0762,,685.6829,2.1674,0.0134,4.7529,4.1421,8.1584,14.354436666666667,0.0811,156.8854,0.0,3.916,1.9828,3.1978,77.2881
319.0,0.0,0.0,210.644,35.6503,40.1586,40.1586,41.1018,8.3774,31.6551,98.6337,,687.8958,2.1687,0.014,4.7473,4.1275,7.7656,14.350066133333332,0.0811,156.8164,1.0,3.9137,1.9551,3.1252,77.2393
319.5,0.0,0.0,210.9312,36.8713,40.9153,40.9153,41.5933,8.3622,31.9161,101.0447,,689.8484,2.1642,0.0106,4.7409,4.116,7.4945,14.345695599999999,0.0811,157.0396,0.0,3.9097,1.9169,3.0309,77.3971
320.0,0.0,0.0,211.348,40.3156,43.1034,43.1034,43.0686,8.3418,32.381,101.8639,,689.5278,2.1563,0.0041,4.7315,4.1116,7.7221,14.341325066666666,0.0811,157.3505,0.0,3.9097,1.8819,2.9622,77.617
320.5,0.0,0.0,212.0153,45.1399,46.3112,46.3112,45.3712,8.3357,32.7968,103.2757,,688.8873,2.1492,0.00385,4.7166,4.1158,7.9131,14.336954533333333,0.0811,157.5251,0.0,3.9117,1.8453,2.8955,77.7405
321.0,0.0,0.0,212.7306,49.9666,49.7042,49.7042,47.9784,8.3352,32.9759,107.8466,,690.2633,2.1461,0.0036,4.7008,4.1282,8.0154,14.332583999999999,0.0811,157.4468,0.0,3.9186,1.8507,2.8368,77.6852
321.5,0.0,0.0,212.8961,52.3223,51.4329,51.4329,49.3711,8.3345,32.9542,112.616,,688.762,2.1465,0.00335,4.6971,4.1478,7.9569,14.328213466666666,0.0811,157.1467,0.0,4.1125,2.2004,2.977,77.4729
322.0,0.0,0.0,212.0389,50.4047,50.022,50.022,48.2313,8.3339,32.8392,115.2888,,686.0978,2.1484,0.0031,4.7161,4.1731,7.8118,14.323842933333333,0.0811,156.7656,0.0,5.5364,3.4067,3.6636,77.2034
322.5,0.0,0.0,210.299,45.2586,46.3924,46.3924,45.4316,8.3334,32.5732,115.8396,,686.2099,2.153,0.0075,4.7551,4.2014,7.9915,14.319472399999999,0.0811,156.4485,0.0,7.67,4.8875,4.5918,76.9792
323.0,0.0,0.0,208.1763,40.5234,43.238,43.238,43.1619,8.3335,32.045,112.851,,686.0186,2.162,0.0111,4.8036,4.2291,8.1474,14.315101866666666,0.0811,156.2153,0.0,8.3221,5.5679,5.064,76.8142
323.5,0.0,0.0,206.0994,39.6077,42.647,42.647,42.7543,8.3354,31.3751,106.747,,685.9816,2.1735,0.0126,4.852,4.252,8.1301,14.310731333333333,0.0811,155.9157,0.0,8.3631,5.6921,5.1639,76.6024
324.0,0.0,0.0,204.268,42.5945,44.597,44.90015,44.1205,8.3372,30.9592,102.6645,,686.6956,2.1806,0.0112,4.8955,4.2665,8.0923,14.3063608,0.0811,155.3645,0.0,8.361,5.7029,5.1377,76.2125
324.5,0.0,0.0,202.8341,46.3636,47.1533,47.1533,46.0022,8.3365,31.3175,100.9757,,685.2227,2.1745,0.0073,4.9301,4.2702,7.969,14.301990266666666,0.0811,154.571,0.0,8.3594,5.8015,5.0856,75.6514
325.0,0.0,0.0,202.2001,48.0305,48.3199,47.6643,46.8941,8.3345,32.8445,97.6609,,683.9387,2.1484,0.0034,4.9456,4.2617,7.9436,14.297619733333333,0.0811,153.8343,0.0,8.3513,6.0749,5.1162,75.1304
325.5,0.0,0.0,202.6231,47.8256,48.1753,48.1753,46.7824,8.3228,35.2939,95.3358,,683.9056,2.1065,0.0034,4.9353,4.2416,8.1028,14.2932492,0.0811,153.557,1.0,8.3594,5.976,5.1306,74.9342
326.0,0.0,0.0,203.7722,48.2772,48.4945,48.4945,47.0293,8.301,37.5158,94.1447,,684.702,2.0685,0.0104,4.9074,4.2118,7.9251,14.288878666666665,0.0811,153.8968,0.0,8.3634,5.2988,4.9259,75.1745
326.5,0.0,0.0,205.2501,50.0504,49.7649,49.7649,48.0266,8.3406,38.2786,92.435,,685.739,2.0554,0.0215,4.8721,4.1746,7.3836,14.284508133333333,0.0811,154.5992,0.0,8.3525,5.0296,4.7206,75.6713
327.0,0.0,0.0,206.946,50.3229,49.9625,49.9625,48.1838,8.3797,37.3109,91.9311,,685.0491,2.072,0.029,4.8322,4.1312,7.3034,14.2801376,0.0811,155.2062,0.0,8.3025,5.1352,4.6625,76.1005
327.5,0.0,0.0,208.8124,47.1667,47.7125,47.7125,46.4272,8.3725,35.4076,92.6754,,684.5661,2.1045,0.0288,4.789,4.0801,7.2028,14.275767066666665,0.0811,155.4115,0.0,8.2738,5.1627,4.6156,76.2458
328.0,0.0,0.0,211.0,42.9307,44.8207,44.8207,44.2811,8.3628,33.7399,93.3888,,686.4138,2.133,0.0242,4.7393,4.0166,6.8934,14.271396533333332,0.0811,155.2499,0.0,8.2719,5.1139,4.5626,76.1314
328.5,0.0,0.0,214.0475,41.186,43.6695,43.6695,43.463,8.371,32.9247,93.4832,,687.7168,2.147,0.0207,4.6719,3.9336,6.6416,14.267026,0.0811,155.0637,0.0,8.2493,5.1036,4.5714,75.9998
329.0,0.0,0.0,218.7155,42.2964,44.3995,44.3995,43.9794,8.3788,32.8149,94.5728,,686.2993,2.1489,0.019,4.5722,3.8249,6.5569,14.262655466666667,0.0811,155.2645,0.0,8.2344,5.1488,4.6453,76.1418
329.5,0.0,0.0,225.8058,44.1957,45.6695,45.6695,44.8977,8.3852,33.1441,94.5328,,685.3649,2.1432,0.016,4.4286,3.6897,6.5267,14.258284933333332,0.0811,155.9916,0.0,8.2235,5.1662,4.6857,76.656
330.0,0.0,0.0,235.6423,46.0705,46.9505,46.9505,45.8493,8.3948,33.873,92.578,,686.2147,2.1308,0.01,4.2437,3.5373,6.4652,14.2539144,0.0811,157.0091,0.0,8.2111,4.994,4.5552,77.3756
330.5,0.0,0.0,247.1738,48.4234,48.5982,48.5982,47.1099,8.3931,35.0007,94.1953,,685.5124,2.1115,0.0032,4.0457,3.3861,6.1353,14.249543866666667,0.0811,157.9994,0.0,8.1748,4.6155,4.2473,78.076
331.0,0.0,0.0,257.7845,50.3021,49.9474,49.9474,48.1718,8.3831,36.3269,102.4728,,686.869,2.0888,0.0017000000000000001,3.8792,3.2578,5.5316,14.245173333333332,0.0811,158.884,0.0,8.1469,4.1705,3.923,78.7015
331.5,0.0,0.0,264.9333,50.1517,49.8382,49.8382,48.0849,8.3759,37.4453,111.7231,,686.2927,2.0697,0.0002,3.7745,3.17,5.0264,14.240802799999999,0.0811,159.811,1.0,8.1202,3.8184,3.6904,79.3571
332.0,0.0,0.0,268.3146,48.1146,48.3794,48.3794,46.9401,8.357,37.9829,116.545,,683.5363,2.0605,0.0025,3.727,3.1312,4.85,14.236432266666666,0.0811,160.9177,1.0,8.07,3.9609,3.7166,80.1398
332.5,0.0,0.0,269.8339,44.8077,46.0847,46.0847,45.2033,8.3289,37.7808,116.8992,,684.4391,2.0639,0.0023,3.706,3.1402,5.5293,14.232061733333333,0.0811,162.1079,0.0,8.0549,4.5452,4.0439,80.9815
333.0,0.0,0.0,271.1652,40.6434,43.3159,43.3159,43.2161,8.3069,36.8513,113.1039,,685.7791,2.0798,0.0,3.6878,3.1884,6.282,14.227691199999999,0.0811,162.9967,0.0,8.1155,4.8699,4.3167,81.6101
333.5,0.0,0.0,271.9957,36.8178,40.8819,40.8819,41.5714,8.2917,35.3845,108.5039,,685.3945,2.1049,0.0006,3.6765,3.2642,6.4196,14.223320666666666,0.0811,163.1123,0.0,8.1455,4.8953,4.3795,81.6919
334.0,0.0,0.0,270.3633,34.8962,39.6961,39.6961,40.8061,8.2886,33.855,106.9995,,684.8766,2.1311,0.0012,3.6987,3.3561,6.3871,14.218950133333333,0.0811,162.3141,0.0,8.1404,4.9839,4.4224,81.1274
334.5,0.0,1.0,264.4274,35.7787,40.2377,40.2377,41.1527,8.2881,32.8538,105.9937,,684.4286,2.1482,0.0017,3.7818,3.4547,6.4934,14.214579599999999,0.0811,161.1389,0.0,8.1442,5.3334,4.6472,80.2962
335.0,0.0,0.0,254.9104,39.6268,42.6593,42.6593,42.7627,8.2875,32.6456,100.0263,,683.4028,2.1518,0.0028714285714285716,3.9229,3.5521,6.7552,14.210209066666666,0.0811,160.7018,0.0,8.1519,5.882,5.1383,79.9871
335.5,0.0,0.0,245.0443,46.0702,46.9503,46.9503,45.8491,8.2878,32.9795,91.7196,,682.0429,2.1461,0.004042857142857143,4.0809,3.6414,6.9495,14.205838533333333,0.0811,162.0585,0.0,8.1445,6.0551,5.5144,80.9466
336.0,0.0,0.0,237.5894,52.8489,51.8262,51.8262,49.6938,8.2884,33.3201,88.8191,,680.4692,2.1402,0.005214285714285715,4.2089,3.717,6.8705,14.201467999999998,0.0811,165.3739,0.0,8.1402,5.711,5.2559,83.2913
336.5,0.0,0.0,233.0604,56.1595,54.3595,54.3595,51.8226,8.2882,33.1942,91.7713,,681.8864,2.1424,0.006385714285714286,4.2907,3.777,6.7106,14.197097466666666,0.0811,169.6098,0.0,8.1391,5.4245,4.8156,86.287
337.0,0.0,0.0,230.3714,54.8288,53.3285,53.3285,50.9459,8.2879,32.411,95.6539,,684.6305,2.1558,0.007557142857142858,4.3408,3.8224,6.6121,14.192726933333333,0.0811,173.0526,0.0,8.1494,5.3988,4.668,88.7218
337.5,0.0,0.0,228.347,51.5895,50.8898,50.8898,48.929,8.2887,31.0515,95.5035,,684.4608,2.179,0.00872857142857143,4.3793,3.8557,6.5908,14.1883564,0.0811,174.1939,0.0,8.1551,5.7538,4.8438,89.529
338.0,0.0,0.0,226.7745,49.4325,49.3191,49.3191,47.674,8.2889,29.3974,91.2719,,683.4307,2.2073,0.0099,4.4097,3.8785,6.7542,14.183985866666665,0.0811,172.2776,1.0,8.1519,7.0018,5.5648,88.1737
338.5,0.0,0.0,226.0714,48.6687,48.7727,48.7727,47.2457,8.2886,28.0063,87.8144,,684.4636,2.2311,0.0196,4.4234,3.8907,7.0948,14.179615333333333,0.0811,167.4828,0.0,8.1468,8.5771,6.5404,84.7828
339.0,0.0,0.0,226.2787,47.952,48.2645,48.2645,46.8513,8.2886,27.5827,84.8502,,686.4749,2.2383,0.0212,4.4193,3.8926,7.1331,14.1752448,0.0811,161.0987,0.0,8.1426,8.3374,6.5528,80.2678
339.5,0.0,0.0,226.8942,46.9666,47.5727,47.5727,46.3205,8.2889,28.3431,82.7735,,687.1217,2.2253,0.0136,4.4073,3.8871,6.8281,14.170874266666665,0.0811,155.4746,0.0,8.1654,6.6584,5.5566,76.2904
340.0,0.0,0.0,227.3495,46.8702,47.5054,47.5054,46.2693,8.2888,29.6593,84.2085,,689.756,2.2028,0.0019,4.3985,3.8793,6.6405,14.166503733333332,0.0811,152.8008,0.0,8.1879,5.6647,4.8505,74.3994
340.5,0.0,0.0,227.3073,48.4232,48.5981,48.5981,47.1098,8.2883,30.5791,87.0292,,691.303,2.1871,0.0016714285714285713,4.3993,3.8751,6.5526,14.1621332,0.0811,153.3197,0.0,8.1908,5.492,4.6942,74.7664
341.0,0.0,0.0,226.7719,50.7702,50.2883,50.2883,48.4443,8.2882,30.4821,88.5337,,692.4063,2.1888,0.0014428571428571429,4.4097,3.8786,6.4987,14.157762666666667,0.0811,155.2463,0.0,8.1882,5.5019,4.6986,76.1289
341.5,0.0,0.0,226.0846,52.4577,51.5338,51.5338,49.4537,8.2885,29.2361,93.7344,,689.9386,2.2101,0.0012142857142857142,4.4231,3.8898,6.4759,14.153392133333332,0.0811,156.6151,0.0,8.1938,5.5269,4.7614,77.0969
342.0,0.0,0.0,225.6669,52.4724,51.5448,51.5448,49.4627,8.2888,27.1961,100.5954,,700.0085,2.2449,0.0009857142857142855,4.4313,3.9046,6.6591,14.1490216,0.0811,156.6806,0.0,8.1906,5.7359,5.0568,77.1433
342.5,0.0,0.0,225.6974,49.6209,49.4547,49.4547,47.7809,8.289,25.2763,99.1122,,717.7445,2.2778,0.000757142857142857,4.4307,3.9158,7.1765,14.144651066666666,0.0811,155.6801,0.0,8.1878,6.0014,5.4019,76.4357
343.0,0.0,0.0,226.1138,43.7547,45.3723,45.3723,44.6805,8.2886,24.5232,90.8413,,720.6124,2.2907,0.0005285714285714284,4.4226,3.916,7.2737,14.140280533333332,0.0811,154.1165,0.0,8.1939,6.0423,5.4415,75.3299
343.5,0.0,0.0,226.8518,38.4412,41.9026,41.9026,42.2491,8.2885,25.1587,84.7134,,718.7858,2.2798,0.0003,4.4082,3.9013,7.0675,14.135909999999999,0.0811,152.511,0.0,8.1858,5.9233,5.3283,74.1945
344.0,0.0,0.0,227.7183,38.134,41.708,41.708,42.1186,8.2951,26.5691,83.2947,,717.4747,2.2557,0.0016,4.3914,3.8733,6.9723,14.131539466666666,0.0811,151.3952,1.0,8.164,5.6622,5.1125,73.4054
344.5,0.0,0.0,228.4437,42.6398,44.6271,44.6271,44.1421,8.3194,28.2635,85.9085,,720.55,2.2267,0.0025,4.3774,3.8388,6.7382,14.127168933333333,0.0811,151.1407,1.0,8.1566,5.4242,4.8787,73.2254
345.0,0.0,0.0,229.0899,47.5161,47.9574,47.9574,46.6148,8.3538,30.1068,92.6053,,725.9895,2.1952,0.001,4.3651,3.8071,6.5678,14.122798399999999,0.0811,151.7851,0.0,8.1629,5.2402,4.6887,73.6811
345.5,0.0,0.0,229.8672,48.5227,48.6688,48.6688,47.1647,8.3826,31.8277,99.8397,,727.5837,2.1657,0.001,4.3503,3.7864,6.4323,14.118427866666666,0.0811,153.0584,0.0,8.1592,5.0443,4.4889,74.5816
346.0,0.0,0.0,230.7451,44.999,46.215,46.215,45.2998,8.3817,32.8702,103.389,,720.6814,2.1479,0.001,4.3338,3.7816,6.3464,14.114057333333333,0.0811,154.5293,0.0,8.1525,4.9955,4.4232,75.6218
346.5,0.0,0.0,231.5857,39.9344,42.8572,42.8572,42.8986,8.3781,32.8613,102.8068,,717.7804,2.1481,0.001,4.3181,3.7933,6.4891,14.109686799999999,0.0811,155.7291,0.0,8.152,5.153,4.5211,76.4704
347.0,0.0,0.0,232.1628,36.5606,40.7218,40.7218,41.4667,8.3782,32.0785,96.6561,,719.0218,2.1615,0.001,4.3073,3.8183,6.7853,14.105316266666666,0.0811,156.2977,0.0,8.1443,5.4197,4.675,76.8725
347.5,0.0,0.0,231.9688,35.741,40.2145,40.2145,41.1378,8.3777,31.2065,90.2999,,719.5652,2.1764,0.001,4.3109,3.8511,6.8353,14.100945733333333,0.0811,156.1166,0.0,8.1458,5.5911,4.7622,76.7444
348.0,0.0,0.0,230.5719,37.0419,41.0217,41.0217,41.6632,8.3779,30.5854,88.3854,,718.5223,2.187,0.001,4.337,3.8848,6.7586,14.0965752,0.0811,155.2725,0.0,8.137,5.7256,4.8015,76.1475
348.5,0.0,0.0,228.2905,40.1295,42.9831,42.9831,42.9854,8.3809,29.9949,84.7798,,718.1367,2.1971,0.001,4.3804,3.9125,6.8629,14.092204666666666,0.0811,153.9014,0.0,8.1172,6.0455,4.9515,75.1778
349.0,0.0,0.0,226.2362,43.6482,45.3006,45.3006,44.6283,8.3991,29.2712,79.9083,,719.0735,2.2095,0.001,4.4202,3.9298,7.2965,14.087834133333333,0.0811,152.1729,0.0,8.1106,6.4495,5.2023,73.9554
349.5,0.0,0.0,225.2341,45.3819,46.4768,46.4768,45.4945,8.4363,28.7603,80.5331,,720.2097,2.2182,0.001,4.4398,3.9371,7.4927,14.0834636,0.0811,150.4289,0.0,8.0929,6.3641,5.1576,72.722
350.0,0.0,0.0,224.8574,45.1281,46.3032,46.3032,45.3653,8.4786,28.8449,85.5311,,721.4056,2.2168,0.001,4.4473,3.9408,7.0815,14.079093066666665,0.0811,149.1868,0.0,8.0898,5.7493,4.7902,71.8436
